Symptom1,Symptom2,Symptom3,Symptom4,Doctor
Mild fever,Chills,Weakness,Loss of appetite,General Physician
Mild fever,Weakness,Loss of appetite,Chills,General Physician
Runny nose,Sneezing,Sore throat,Body ache,General Physician
Cough,Fatigue,Fever,Headache,General Physician
Sore throat,Runny nose,Body ache,Sneezing,General Physician
Mild fever,Loss of appetite,Weakness,Chills,General Physician
Cough,Headache,Fever,Fatigue,General Physician
Fatigue,Fever,Cough,Headache,General Physician
Runny nose,Sneezing,Body ache,Sore throat,General Physician
Sneezing,Runny nose,Body ache,Sore throat,General Physician
Weakness,Loss of appetite,Mild fever,Chills,General Physician
Headache,Fatigue,Fever,Cough,General Physician
Mild fever,Weakness,Chills,Loss of appetite,General Physician
Sore throat,Runny nose,Body ache,Sneezing,General Physician
Sore throat,Sneezing,Runny nose,Body ache,General Physician
Fever,Cough,Fatigue,Headache,General Physician
Weakness,Chills,Mild fever,Loss of appetite,General Physician
Sneezing,Runny nose,Sore throat,Body ache,General Physician
Fever,Cough,Fatigue,Headache,General Physician
Sneezing,Body ache,Runny nose,Sore throat,General Physician
Body ache,Sneezing,Sore throat,Runny nose,General Physician
Sore throat,Sneezing,Body ache,Runny nose,General Physician
Cough,Headache,Fever,Fatigue,General Physician
Runny nose,Sneezing,Body ache,Sore throat,General Physician
Sore throat,Runny nose,Body ache,Sneezing,General Physician
Runny nose,Sore throat,Sneezing,Body ache,General Physician
Chills,Weakness,Mild fever,Loss of appetite,General Physician
Cough,Fever,Headache,Fatigue,General Physician
Runny nose,Body ache,Sneezing,Sore throat,General Physician
Weakness,Chills,Loss of appetite,Mild fever,General Physician
Sore throat,Body ache,Sneezing,Runny nose,General Physician
Weakness,Mild fever,Chills,Loss of appetite,General Physician
Loss of appetite,Mild fever,Chills,Weakness,General Physician
Sneezing,Runny nose,Sore throat,Body ache,General Physician
Mild fever,Loss of appetite,Weakness,Chills,General Physician
Shortness of breath,Palpitations,Chest pain,Dizziness,Cardiologist
Dizziness,Shortness of breath,Palpitations,Chest pain,Cardiologist
Fatigue,Chest tightness,High blood pressure,Swelling in legs,Cardiologist
Fainting,Chest discomfort,Shortness of breath,Irregular heartbeat,Cardiologist
High blood pressure,Fatigue,Chest tightness,Swelling in legs,Cardiologist
Shortness of breath,Irregular heartbeat,Chest discomfort,Fainting,Cardiologist
High blood pressure,Swelling in legs,Chest tightness,Fatigue,Cardiologist
Shortness of breath,Chest discomfort,Irregular heartbeat,Fainting,Cardiologist
Irregular heartbeat,Shortness of breath,Fainting,Chest discomfort,Cardiologist
Shortness of breath,Fainting,Chest discomfort,Irregular heartbeat,Cardiologist
Fatigue,Swelling in legs,Chest tightness,High blood pressure,Cardiologist
Chest discomfort,Fainting,Irregular heartbeat,Shortness of breath,Cardiologist
Fainting,Shortness of breath,Irregular heartbeat,Chest discomfort,Cardiologist
Irregular heartbeat,Chest discomfort,Fainting,Shortness of breath,Cardiologist
Fatigue,Swelling in legs,High blood pressure,Chest tightness,Cardiologist
Fatigue,Swelling in legs,Chest tightness,High blood pressure,Cardiologist
Fainting,Chest discomfort,Shortness of breath,Irregular heartbeat,Cardiologist
Irregular heartbeat,Fainting,Chest discomfort,Shortness of breath,Cardiologist
Shortness of breath,Palpitations,Dizziness,Chest pain,Cardiologist
Swelling in legs,Fatigue,Chest tightness,High blood pressure,Cardiologist
Shortness of breath,Chest pain,Dizziness,Palpitations,Cardiologist
Fatigue,High blood pressure,Chest tightness,Swelling in legs,Cardiologist
Fainting,Shortness of breath,Chest discomfort,Irregular heartbeat,Cardiologist
Irregular heartbeat,Fainting,Chest discomfort,Shortness of breath,Cardiologist
Swelling in legs,Chest tightness,High blood pressure,Fatigue,Cardiologist
Chest pain,Palpitations,Dizziness,Shortness of breath,Cardiologist
Chest discomfort,Shortness of breath,Irregular heartbeat,Fainting,Cardiologist
Shortness of breath,Irregular heartbeat,Fainting,Chest discomfort,Cardiologist
Chest tightness,Swelling in legs,High blood pressure,Fatigue,Cardiologist
Swelling in legs,Chest tightness,Fatigue,High blood pressure,Cardiologist
Shortness of breath,Palpitations,Dizziness,Chest pain,Cardiologist
Irregular heartbeat,Shortness of breath,Fainting,Chest discomfort,Cardiologist
Chest tightness,Swelling in legs,Fatigue,High blood pressure,Cardiologist
Shortness of breath,Fainting,Irregular heartbeat,Chest discomfort,Cardiologist
Swelling in legs,High blood pressure,Fatigue,Chest tightness,Cardiologist
Acne,Oily skin,Pimples,Blackheads,Dermatologist
Peeling skin,Inflammation,Redness,Eczema,Dermatologist
Oily skin,Pimples,Blackheads,Acne,Dermatologist
Peeling skin,Redness,Eczema,Inflammation,Dermatologist
Blackheads,Pimples,Acne,Oily skin,Dermatologist
Dry skin,Red spots,Skin rash,Itching,Dermatologist
Acne,Blackheads,Pimples,Oily skin,Dermatologist
Inflammation,Peeling skin,Redness,Eczema,Dermatologist
Acne,Blackheads,Pimples,Oily skin,Dermatologist
Pimples,Blackheads,Oily skin,Acne,Dermatologist
Peeling skin,Eczema,Inflammation,Redness,Dermatologist
Redness,Eczema,Inflammation,Peeling skin,Dermatologist
Skin rash,Red spots,Itching,Dry skin,Dermatologist
Oily skin,Blackheads,Acne,Pimples,Dermatologist
Oily skin,Blackheads,Acne,Pimples,Dermatologist
Skin rash,Dry skin,Itching,Red spots,Dermatologist
Itching,Dry skin,Red spots,Skin rash,Dermatologist
Acne,Blackheads,Pimples,Oily skin,Dermatologist
Red spots,Skin rash,Dry skin,Itching,Dermatologist
Pimples,Acne,Oily skin,Blackheads,Dermatologist
Inflammation,Peeling skin,Redness,Eczema,Dermatologist
Inflammation,Eczema,Redness,Peeling skin,Dermatologist
Skin rash,Red spots,Dry skin,Itching,Dermatologist
Dry skin,Red spots,Itching,Skin rash,Dermatologist
Blackheads,Pimples,Acne,Oily skin,Dermatologist
Pimples,Oily skin,Blackheads,Acne,Dermatologist
Skin rash,Itching,Dry skin,Red spots,Dermatologist
Itching,Red spots,Dry skin,Skin rash,Dermatologist
Oily skin,Blackheads,Acne,Pimples,Dermatologist
Eczema,Redness,Peeling skin,Inflammation,Dermatologist
Skin rash,Red spots,Itching,Dry skin,Dermatologist
Redness,Eczema,Inflammation,Peeling skin,Dermatologist
Inflammation,Peeling skin,Redness,Eczema,Dermatologist
Red spots,Itching,Skin rash,Dry skin,Dermatologist
Itching,Skin rash,Dry skin,Red spots,Dermatologist
Dizziness,Vision problems,Severe headache,Numbness,Neurologist
Confusion,Weakness in limbs,Seizures,Loss of consciousness,Neurologist
Severe headache,Dizziness,Vision problems,Numbness,Neurologist
Loss of consciousness,Seizures,Confusion,Weakness in limbs,Neurologist
Loss of consciousness,Weakness in limbs,Confusion,Seizures,Neurologist
Numbness,Vision problems,Severe headache,Dizziness,Neurologist
Loss of consciousness,Seizures,Weakness in limbs,Confusion,Neurologist
Dizziness,Numbness,Vision problems,Severe headache,Neurologist
Confusion,Loss of consciousness,Weakness in limbs,Seizures,Neurologist
Dizziness,Severe headache,Vision problems,Numbness,Neurologist
Difficulty speaking,Tremors,Memory loss,Balance issues,Neurologist
Severe headache,Numbness,Dizziness,Vision problems,Neurologist
Numbness,Severe headache,Dizziness,Vision problems,Neurologist
Vision problems,Severe headache,Dizziness,Numbness,Neurologist
Dizziness,Numbness,Vision problems,Severe headache,Neurologist
Severe headache,Numbness,Vision problems,Dizziness,Neurologist
Severe headache,Numbness,Vision problems,Dizziness,Neurologist
Loss of consciousness,Weakness in limbs,Confusion,Seizures,Neurologist
Tremors,Memory loss,Balance issues,Difficulty speaking,Neurologist
Balance issues,Difficulty speaking,Memory loss,Tremors,Neurologist
Numbness,Dizziness,Vision problems,Severe headache,Neurologist
Difficulty speaking,Tremors,Balance issues,Memory loss,Neurologist
Numbness,Dizziness,Vision problems,Severe headache,Neurologist
Numbness,Dizziness,Severe headache,Vision problems,Neurologist
Tremors,Difficulty speaking,Balance issues,Memory loss,Neurologist
Confusion,Loss of consciousness,Seizures,Weakness in limbs,Neurologist
Seizures,Weakness in limbs,Loss of consciousness,Confusion,Neurologist
Memory loss,Balance issues,Tremors,Difficulty speaking,Neurologist
Memory loss,Difficulty speaking,Tremors,Balance issues,Neurologist
Confusion,Weakness in limbs,Seizures,Loss of consciousness,Neurologist
Balance issues,Tremors,Difficulty speaking,Memory loss,Neurologist
